device_name,mac,rssi,location,time_utc,proximity
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:13:23.628472Z,Unknown
Unknown,47:84:45:4D:4B:E1,N/A,ECE_Lab_Test,2025-10-28T15:13:23.628472Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:13:38.677099Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:13:53.727886Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:14:08.771188Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:14:23.818501Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:14:38.873044Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:14:53.914500Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:15:08.962546Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:15:24.001463Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:15:39.053661Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:15:54.111442Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:16:09.161935Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:16:24.221905Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:16:39.265118Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:16:54.318412Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:17:09.363990Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:17:24.416037Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:17:39.458301Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:17:54.510268Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:18:09.553163Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:18:24.598867Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:18:39.656114Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:18:54.713350Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:19:09.751532Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:19:24.807755Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:19:39.878154Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:19:54.935256Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:20:09.978346Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:20:25.013816Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:20:40.064576Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:20:55.114776Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:21:10.148930Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:21:25.188368Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:21:40.218343Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:21:55.258648Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:22:10.317859Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:22:25.364793Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:22:40.416918Z,Unknown
Unknown,09:EB:B3:67:E7:A0,N/A,ECE_Lab_Test,2025-10-28T15:22:55.464461Z,Unknown
Unknown,1B:96:DA:25:40:64,N/A,ECE_Lab_Test,2025-10-28T15:36:27.773321Z,Unknown
Unknown,1B:96:DA:25:40:64,N/A,ECE_Lab_Test,2025-10-28T15:36:42.823684Z,Unknown
Unknown,1B:96:DA:25:40:64,N/A,ECE_Lab_Test,2025-10-28T15:36:57.880705Z,Unknown
Unknown,1B:96:DA:25:40:64,N/A,ECE_Lab_Test,2025-10-28T15:37:12.941705Z,Unknown
Unknown,1B:96:DA:25:40:64,N/A,ECE_Lab_Test,2025-10-28T15:37:28.017814Z,Unknown
Unknown,1B:96:DA:25:40:64,N/A,ECE_Lab_Test,2025-10-28T15:37:43.074574Z,Unknown
Unknown,1B:96:DA:25:40:64,N/A,ECE_Lab_Test,2025-10-28T15:37:58.145413Z,Unknown
Unknown,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T15:37:58.147410Z,Unknown
Unknown,3D:F3:2F:9E:7D:D9,N/A,ECE_Lab_Test,2025-10-28T15:37:58.148860Z,Unknown
Unknown,1B:96:DA:25:40:64,N/A,ECE_Lab_Test,2025-10-28T15:38:13.192380Z,Unknown
Unknown,3D:F3:2F:9E:7D:D9,N/A,ECE_Lab_Test,2025-10-28T15:38:13.194380Z,Unknown
Unknown,1B:96:DA:25:40:64,N/A,ECE_Lab_Test,2025-10-28T15:38:28.253285Z,Unknown
Unknown,09:B1:0C:32:65:5B,N/A,ECE_Lab_Test,2025-10-28T15:43:50.505723Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:40:16.211245Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:40:31.252753Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:40:46.365642Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:41:01.429984Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:41:16.475453Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:41:31.531933Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:41:46.585567Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:42:01.637026Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:42:16.681173Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:42:31.727168Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:42:46.776136Z,Unknown
BeatXP Vega Neo,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T16:42:46.779140Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:43:01.818087Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:43:16.877656Z,Unknown
BeatXP Vega Neo,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T16:43:16.878635Z,Unknown
Unknown,2A:BA:11:DC:32:19,N/A,ECE_Lab_Test,2025-10-28T16:43:16.878635Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:43:31.928978Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:43:46.980620Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:44:02.016931Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:44:17.067220Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:44:32.121440Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:44:47.170047Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:45:02.220911Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:45:17.274618Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:45:32.398173Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:45:47.456340Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:46:02.519957Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:46:17.566373Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:46:32.612638Z,Unknown
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:46:47.669889Z,Unknown
